adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID,region
FRANCE,NA,NA,FRANCE,FRA,85,FRA,NA,2020-01-01,2020-12-31,2020,13,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
FRANCE,NA,NA,FRANCE,FRA,85,FRA,NA,2021-01-01,2021-12-31,2021,3,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
FRANCE,NA,NA,FRANCE,FRA,85,FRA,NA,2013-01-01,2013-12-31,2013,1,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
FRANCE,NA,NA,FRANCE,FRA,85,FRA,NA,2014-01-01,2014-12-31,2014,4,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
FRANCE,NA,NA,FRANCE,FRA,85,FRA,NA,2015-01-01,2015-12-31,2015,8,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
FRANCE,NA,NA,FRANCE,FRA,85,FRA,NA,2016-01-01,2016-12-31,2016,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
FRANCE,NA,NA,FRANCE,FRA,85,FRA,NA,2017-01-01,2017-12-31,2017,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
FRANCE,NA,NA,FRANCE,FRA,85,FRA,NA,2018-01-01,2018-12-31,2018,8,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
FRANCE,NA,NA,FRANCE,FRA,85,FRA,NA,2019-01-01,2019-12-31,2019,9,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
FRANCE,NA,NA,FRANCE,FRA,85,FRA,NA,2008-01-01,2008-12-31,2008,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
FRANCE,NA,NA,FRANCE,FRA,85,FRA,NA,2009-01-01,2009-12-31,2009,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
FRANCE,NA,NA,FRANCE,FRA,85,FRA,NA,2011-01-01,2011-12-31,2011,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
FRANCE,NA,NA,FRANCE,FRA,85,FRA,NA,2012-01-01,2012-12-31,2012,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
FRANCE,NA,NA,FRANCE,FRA,85,FRA,NA,2010-01-01,2010-12-31,2010,2,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
ITALY,NA,NA,ITALY,ITA,122,ITA,NA,2013-01-01,2013-12-31,2013,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
ITALY,NA,NA,ITALY,ITA,122,ITA,NA,2008-01-01,2008-12-31,2008,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
ITALY,NA,NA,ITALY,ITA,122,ITA,NA,2009-01-01,2009-12-31,2009,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
ITALY,NA,NA,ITALY,ITA,122,ITA,NA,2010-01-01,2010-12-31,2010,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
ITALY,NA,NA,ITALY,ITA,122,ITA,NA,2011-01-01,2011-12-31,2011,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
ITALY,NA,NA,ITALY,ITA,122,ITA,NA,2012-01-01,2012-12-31,2012,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
ITALY,NA,NA,ITALY,ITA,122,ITA,NA,2014-01-01,2014-12-31,2014,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
ITALY,NA,NA,ITALY,ITA,122,ITA,NA,2015-01-01,2015-12-31,2015,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
ITALY,NA,NA,ITALY,ITA,122,ITA,NA,2021-01-01,2021-12-31,2021,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
ITALY,NA,NA,ITALY,ITA,122,ITA,NA,2020-01-01,2020-12-31,2020,11,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
ITALY,NA,NA,ITALY,ITA,122,ITA,NA,2019-01-01,2019-12-31,2019,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
ITALY,NA,NA,ITALY,ITA,122,ITA,NA,2016-01-01,2016-12-31,2016,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
ITALY,NA,NA,ITALY,ITA,122,ITA,NA,2017-01-01,2017-12-31,2017,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
ITALY,NA,NA,ITALY,ITA,122,ITA,NA,2018-01-01,2018-12-31,2018,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
SPAIN,NA,NA,SPAIN,ESP,229,ESP,NA,2008-01-01,2008-12-31,2008,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
SPAIN,NA,NA,SPAIN,ESP,229,ESP,NA,2009-01-01,2009-12-31,2009,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
SPAIN,NA,NA,SPAIN,ESP,229,ESP,NA,2010-01-01,2010-12-31,2010,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
SPAIN,NA,NA,SPAIN,ESP,229,ESP,NA,2011-01-01,2011-12-31,2011,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
SPAIN,NA,NA,SPAIN,ESP,229,ESP,NA,2012-01-01,2012-12-31,2012,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
SPAIN,NA,NA,SPAIN,ESP,229,ESP,NA,2013-01-01,2013-12-31,2013,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
SPAIN,NA,NA,SPAIN,ESP,229,ESP,NA,2014-01-01,2014-12-31,2014,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
SPAIN,NA,NA,SPAIN,ESP,229,ESP,NA,2015-01-01,2015-12-31,2015,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
SPAIN,NA,NA,SPAIN,ESP,229,ESP,NA,2016-01-01,2016-12-31,2016,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
SPAIN,NA,NA,SPAIN,ESP,229,ESP,NA,2017-01-01,2017-12-31,2017,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
SPAIN,NA,NA,SPAIN,ESP,229,ESP,NA,2018-01-01,2018-12-31,2018,6,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
SPAIN,NA,NA,SPAIN,ESP,229,ESP,NA,2019-01-01,2019-12-31,2019,2,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
SPAIN,NA,NA,SPAIN,ESP,229,ESP,NA,2020-01-01,2020-12-31,2020,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO
SPAIN,NA,NA,SPAIN,ESP,229,ESP,NA,2021-01-01,2021-12-31,2021,0,Probable and confirmed,Admin0,Year,MOH-Europe-20082023-Y01-00,EURO